brand,product_id,sales
inoi,1003948,16
inoi,1004208,16
inoi,1005085,15
inoi,1004588,12
inoi,1004192,10
inoi,1004266,6
inoi,1004679,6
inoi,1005029,5
inoi,1005249,4
inoi,1005242,2
inoi,1005198,1
inoi,1005222,1
inoi,1005227,1
inoi,18001538,1
irbis,1004579,18
irbis,1004592,5
irbis,1004951,4
irbis,1003807,2
irbis,1004093,2
irbis,1004095,2
irbis,1004355,1
irbis,1004593,1
irbis,1004959,1
irbis,1005024,1
iwalk,18000621,4
jinga,1004306,19
jinga,1005210,18
jinga,1004585,14
jinga,1004491,13
jinga,1004504,10
jinga,1004464,8
jinga,1005214,3
jinga,1004305,2
jinga,1004880,2
karya,36700014,5
karya,36700016,5
karya,36700020,5
karya,36700017,4
karya,36700018,3
karya,36700019,2
karya,100101480,2
karya,100101482,1
karya,100101483,1
kisswill,18001203,1
lego,100035978,4
lenovo,100023409,1
lenovo,100023495,1
lg,1003894,151
lg,1003934,59
lg,1003734,34
lg,1003851,29
lg,1003991,27
lg,1003992,20
lg,1003863,9
lg,1003437,6
lg,1003887,6
lg,1002310,5
lg,1002308,4
lg,1003015,3
lg,1005257,3
lg,1003330,2
lg,1003735,2
lg,1003014,1
lg,1003673,1
lg,1004769,1
meizu,1004496,581
meizu,1004564,521
meizu,1004495,499
meizu,1005192,329
meizu,1004756,292
meizu,1004342,219
meizu,1004562,175
meizu,1004582,142
meizu,1004757,135
meizu,1004340,134
meizu,1004317,117
meizu,1005278,105
meizu,1004155,92
meizu,1003416,63
meizu,1004843,56
meizu,1005193,56
meizu,1004853,41
meizu,1003969,35
meizu,1005095,35
meizu,1003428,31
meizu,1002482,30
meizu,1004033,21
meizu,1004152,21
meizu,1001588,18
meizu,1004197,16
meizu,1004846,15
meizu,1004440,13
meizu,1004852,12
meizu,1004784,11
meizu,1003592,10
meizu,1004341,9
meizu,1003938,8
meizu,1003096,7
meizu,1003793,7
meizu,1003001,6
meizu,1003609,6
meizu,1004171,6
meizu,1003845,5
meizu,1004672,5
meizu,1004851,5
meizu,1002678,4
meizu,1003074,4
meizu,1004185,4
meizu,1003073,3
meizu,1003611,3
meizu,1004774,3
meizu,1004845,3
meizu,1002367,2
meizu,1003612,2
meizu,1004443,2
meizu,1002484,1
meizu,1003391,1
meizu,1004154,1
meizu,1004455,1
meizu,1004563,1
meizu,1004682,1
micromax,1002929,1
nillkin,18001197,3
nillkin,18000282,1
nillkin,18001084,1
nillkin,18001188,1
nillkin,18001239,1
nillkin,18001262,1
nillkin,18001456,1
nokia,1004955,303
nokia,1005019,198
nokia,1005246,189
nokia,1004497,152
nokia,100015000,125
nokia,1004988,102
nokia,1005020,60
nokia,1004893,49
nokia,1005146,30
nokia,1004035,27
nokia,1005147,26
nokia,1004523,24
nokia,1003221,22
nokia,1004599,19
nokia,1003441,17
nokia,1003910,16
nokia,1003230,15
nokia,1003798,15
nokia,1004962,15
nokia,1004963,13
nokia,1003756,12
nokia,100014292,12
nokia,1003360,11
nokia,1004014,11
nokia,1005272,10
nokia,1004854,9
nokia,1004524,8
nokia,1004900,8
nokia,1003222,7
nokia,1003328,7
nokia,1003777,7
nokia,1004318,7
nokia,1003989,6
nokia,1003177,5
nokia,1003774,5
nokia,1003778,5
nokia,1003779,5
nokia,1004167,5
nokia,100062481,5
nokia,1003173,4
nokia,1003447,4
nokia,1003757,3
nokia,1004198,3
nokia,1004525,3
nokia,18000748,3
nokia,1003298,2
nokia,1004036,2
nokia,1004452,2
nokia,18000730,2
nokia,100022552,2
nokia,1003233,1
nokia,1003425,1
nokia,1003645,1
nokia,1003988,1
nokia,18000747,1
nubia,1005063,14
oneplus,1004993,242
oneplus,1004946,221
oneplus,1004948,155
oneplus,1004949,138
oneplus,1003525,102
oneplus,1005050,96
oneplus,1004994,77
oneplus,1005285,17
oneplus,1003499,15
oneplus,1003898,15
oneplus,1005286,15
oneplus,100014343,9
oneplus,1003954,7
oneplus,1004950,6
oneplus,1003899,3
oneplus,1004831,3
oneplus,1003978,2
oneplus,1004947,1
oppo,1004838,9043
oppo,1004839,3005
oppo,1005205,2436
oppo,1005238,1944
oppo,1004961,1749
oppo,1004886,1397
oppo,1005235,979
oppo,1004887,950
oppo,1004990,746
oppo,1005236,671
oppo,1005252,579
oppo,1005021,520
oppo,1004902,361
oppo,1005022,334
oppo,1004966,256
oppo,1005263,212
oppo,1004901,198
oppo,1004578,172
oppo,1004992,116
oppo,1004965,93
oppo,1005261,68
oppo,1005260,60
oppo,1004964,52
oppo,1004503,35
oppo,1004502,33
oppo,1004581,29
oppo,1003599,17
oppo,1003843,17
oppo,1003864,14
oppo,1003600,12
oppo,1004189,12
oppo,1004385,12
oppo,1004386,11
oppo,1003795,10
oppo,1004500,10
oppo,1003406,6
oppo,1004375,5
oppo,1005237,5
oppo,1003102,3
oppo,1003792,3
oppo,1004188,2
oppo,1003791,1
petek,18001316,5
petek,36700000,2
petek,36700003,2
petek,100000481,2
petek,36700012,1
philips,1002225,3
prestigio,1004309,142
prestigio,1003877,111
prestigio,1005155,73
prestigio,1005189,47
prestigio,1004847,40
prestigio,1003878,34
prestigio,1003921,32
prestigio,1004844,31
prestigio,1005188,21
prestigio,1002846,11
prestigio,1004488,1
rapid,18001420,1
samsung,1004856,61259
samsung,1004767,44417
samsung,1004833,26183
samsung,1004870,21288
samsung,1004836,15546
samsung,1005100,14769
samsung,1004873,12206
samsung,1004750,8873
samsung,1004858,7005
samsung,1004209,5421
samsung,1004768,5420
samsung,1004659,4928
samsung,1005098,4463
samsung,1004857,4129
samsung,1005174,3953
samsung,1004834,3260
samsung,1004766,3194
samsung,1005186,3172
samsung,1005169,3105
samsung,1004872,2954
samsung,1005014,2833
samsung,1004863,2726
samsung,1005212,2650
samsung,1005099,2285
samsung,1004875,2119
samsung,1005177,2065
samsung,1004835,2047
samsung,1004210,1726
samsung,1004871,1720
samsung,1004749,1649
samsung,1004665,1608
samsung,1005073,1351
samsung,1004874,1204
samsung,1004653,1189
samsung,1005168,1141
samsung,1004433,1085
samsung,1004888,1061
samsung,1004751,951
samsung,1005182,893
samsung,1005072,856
samsung,1005211,834
samsung,1005015,739
samsung,1003712,677
samsung,1004446,663
samsung,1005074,641
samsung,1005171,622
samsung,1005225,500
samsung,1004655,491
samsung,1004211,479
samsung,1003549,462
