date,apple,samsung,smartphone
2018-01-31 11:00:00,23,30,3
2018-01-31 12:00:00,18,32,17
2018-01-31 13:00:00,20,28,2
2018-01-31 14:00:00,17,39,0
2018-01-31 15:00:00,20,33,0
2018-01-31 16:00:00,15,31,0
2018-01-31 17:00:00,14,31,3
2018-01-31 18:00:00,19,41,2
2018-01-31 19:00:00,15,41,0
2018-01-31 20:00:00,15,36,3
2018-01-31 21:00:00,19,45,2
2018-01-31 22:00:00,17,45,4
2018-01-31 23:00:00,16,49,18
2018-02-01 00:00:00,0,38,11
